ma_window,entry_zscore,exit_zscore,stop_loss_pct,timeout_minutes,position_size_pusd,total_trades,winners,losers,total_pnl,win_rate,profit_factor,sharpe_ratio,max_drawdown,avg_trade_pnl,best_trade,worst_trade
30,-2.5,0.5,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.5,0.5,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,-0.5,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.0,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-2.0,0.5,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,-0.5,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.0,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.08,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.08,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.08,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.08,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.1,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.1,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.1,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.1,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.15,45,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.15,45,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.15,60,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-1.5,0.5,0.15,60,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
